city,zone,rainfall_mm,drainage_capacity,population_density,traffic_index,road_condition_rating,critical_infrastructure_count,rainfall,drainage_capacity_pct,population,traffic,road_condition,critical_infrastructure,drainage_overflow_ratio,road_vulnerability,flood_risk_score,flood_risk_target,target
Mumbai,Dadar-Hindmata,375.83,24.17,101820,57.49,2.78,5,375.83,24.17,101820,57.49,2.78,5,15.5485,0.722,0.98,1,1
Mumbai,Sion Lowlands,335.76,16.03,25769,84.66,6.69,4,335.76,16.03,25769,84.66,6.69,4,20.9465,0.3307,0.98,1,1
Mumbai,Sion Lowlands,464.47,45.87,110305,75.19,4.16,3,464.47,45.87,110305,75.19,4.16,3,10.1249,0.584,0.98,1,1
Mumbai,Sion Lowlands,147.34,33.32,90725,54.35,5.09,6,147.34,33.32,90725,54.35,5.09,6,4.4223,0.4908,0.98,1,1
Mumbai,Dadar-Hindmata,460.4,38.34,94092,79.16,2.85,9,460.4,38.34,94092,79.16,2.85,9,12.009,0.7147,0.98,1,1
Mumbai,Kurla West,59.25,49.21,48483,55.86,4.48,9,59.25,49.21,48483,55.86,4.48,9,1.2039,0.5524,0.9112,1,1
Mumbai,Dadar-Hindmata,426.92,27.94,94479,86.26,4.13,8,426.92,27.94,94479,86.26,4.13,8,15.2805,0.5874,0.98,1,1
Mumbai,Dadar-Hindmata,396.56,37.49,62065,92.95,4.99,9,396.56,37.49,62065,92.95,4.99,9,10.5783,0.5011,0.98,1,1
Mumbai,Sion Lowlands,273.41,41.04,114789,65.62,3.94,4,273.41,41.04,114789,65.62,3.94,4,6.6618,0.6057,0.98,1,1
Mumbai,Mithi River Basin,142.26,42.13,63044,88.51,2.37,9,142.26,42.13,63044,88.51,2.37,9,3.3764,0.7627,0.98,1,1
Mumbai,Mithi River Basin,364.83,24.94,73190,89.14,5.53,5,364.83,24.94,73190,89.14,5.53,5,14.6307,0.4466,0.98,1,1
Mumbai,Kurla West,177.38,20.79,47662,90.8,4.25,3,177.38,20.79,47662,90.8,4.25,3,8.5308,0.5753,0.98,1,1
Mumbai,Sion Lowlands,182.98,48.44,109651,80.6,6.44,3,182.98,48.44,109651,80.6,6.44,3,3.7773,0.3564,0.98,1,1
Mumbai,Dadar-Hindmata,359.64,43.06,31910,62.29,2.2,9,359.64,43.06,31910,62.29,2.2,9,8.3512,0.7798,0.98,1,1
Mumbai,Dadar-Hindmata,65.23,36.97,75015,80.55,3.57,6,65.23,36.97,75015,80.55,3.57,6,1.7647,0.6428,0.98,1,1
Mumbai,Mithi River Basin,259.55,25.15,80820,53.7,3.45,8,259.55,25.15,80820,53.7,3.45,8,10.3187,0.6551,0.98,1,1
Mumbai,Sion Lowlands,436.15,55.41,74080,55.06,4.28,6,436.15,55.41,74080,55.06,4.28,6,7.8719,0.5717,0.98,1,1
Mumbai,Sion Lowlands,176.4,60.34,55080,60.94,4.14,6,176.4,60.34,55080,60.94,4.14,6,2.9234,0.5864,0.98,1,1
Mumbai,Mithi River Basin,404.91,15.35,46959,75.64,4.42,3,404.91,15.35,46959,75.64,4.42,3,26.3827,0.5576,0.98,1,1
Mumbai,Dadar-Hindmata,91.24,25.94,93840,69.38,2.32,4,91.24,25.94,93840,69.38,2.32,4,3.5174,0.7676,0.98,1,1
